date,ticker,close_price
2023-01-03,TICK01,195.4
2023-01-03,TICK02,219.78
2023-01-03,TICK03,155.23
2023-01-03,TICK04,380.74
2023-01-03,TICK05,211.26
2023-01-03,TICK06,122.88
2023-01-03,TICK07,256.84
2023-01-03,TICK08,300.55
2023-01-03,TICK09,487.92
2023-01-03,TICK10,469.11
2023-01-03,TICK11,359.97
2023-01-03,TICK13,112.21
2023-01-03,TICK14,315.0
2023-01-03,TICK15,260.37
2023-01-03,TICK16,470.78
2023-01-03,TICK17,330.19
2023-01-03,TICK18,445.35
2023-01-03,TICK19,210.22
2023-01-03,TICK20,39.16
2023-01-03,TICK21,212.43
2023-01-03,TICK22,246.04
2023-01-03,TICK23,238.97
2023-01-03,TICK24,71.1
2023-01-03,TICK25,41.25
2023-01-03,TICK26,287.45
2023-01-03,TICK27,454.26
2023-01-03,TICK28,351.81
2023-01-03,TICK29,427.96
2023-01-03,TICK30,361.08
2023-01-03,TICK31,476.67
2023-01-03,TICK32,461.92
2023-01-03,TICK33,493.87
2023-01-03,TICK34,248.44
2023-01-03,TICK35,294.21
2023-01-03,TICK36,123.11
2023-01-03,TICK37,253.8
2023-01-03,TICK38,334.89
2023-01-03,TICK39,127.04
2023-01-03,TICK40,479.87
2023-01-03,TICK41,135.08
2023-01-03,TICK42,226.7
2023-01-03,TICK43,477.99
2023-01-03,TICK44,427.88
2023-01-03,TICK45,455.85
2023-01-03,TICK46,92.63
2023-01-03,TICK47,87.62
2023-01-03,TICK48,450.01
2023-01-03,TICK49,255.14
2023-01-03,TICK50,188.54
2023-01-04,TICK01,196.7
2023-01-04,TICK02,212.7
2023-01-04,TICK03,156.46
2023-01-04,TICK04,382.68
2023-01-04,TICK05,214.76
2023-01-04,TICK06,122.75
2023-01-04,TICK07,265.11
2023-01-04,TICK08,297.63
2023-01-04,TICK09,496.19
2023-01-04,TICK10,475.88
2023-01-04,TICK11,365.17
2023-01-04,TICK13,113.28
2023-01-04,TICK14,312.27
2023-01-04,TICK15,256.16
2023-01-04,TICK16,492.79
2023-01-04,TICK17,322.58
2023-01-04,TICK18,453.41
2023-01-04,TICK19,216.52
2023-01-04,TICK20,40.31
2023-01-04,TICK21,207.78
2023-01-04,TICK22,248.75
2023-01-04,TICK23,234.08
2023-01-04,TICK24,69.81
2023-01-04,TICK25,39.81
2023-01-04,TICK26,289.93
2023-01-04,TICK27,463.73
2023-01-04,TICK28,354.15
2023-01-04,TICK29,424.85
2023-01-04,TICK30,357.15
2023-01-04,TICK31,485.31
2023-01-04,TICK32,462.31
2023-01-04,TICK33,500.06
2023-01-04,TICK34,244.16
2023-01-04,TICK35,299.38
2023-01-04,TICK36,123.82
2023-01-04,TICK37,254.6
2023-01-04,TICK38,334.76
2023-01-04,TICK39,125.17
2023-01-04,TICK40,486.13
2023-01-04,TICK41,130.78
2023-01-04,TICK42,228.57
2023-01-04,TICK43,485.21
2023-01-04,TICK44,435.09
2023-01-04,TICK45,472.86
2023-01-04,TICK46,94.02
2023-01-04,TICK47,85.85
2023-01-04,TICK48,440.2
2023-01-04,TICK49,256.71
2023-01-04,TICK50,184.77
2023-01-05,TICK01,197.86
2023-01-05,TICK02,212.96
2023-01-05,TICK03,160.54
2023-01-05,TICK04,364.28
2023-01-05,TICK05,213.63
2023-01-05,TICK06,120.7
2023-01-05,TICK07,268.79
2023-01-05,TICK08,306.21
2023-01-05,TICK09,498.41
2023-01-05,TICK10,487.36
2023-01-05,TICK11,380.5
2023-01-05,TICK13,116.8
2023-01-05,TICK14,316.57
